,name,github_id,pypi_id,conda_id,npm_id,dockerhub_id,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,github_release_downloads,monthly_downloads,release_count,description,dependent_project_count,github_dependent_project_count,contributor_count,pypi_url,pypi_monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,npm_url,npm_monthly_downloads,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,projectrank,show,category,projectrank_placing,trending
0,DeePMD-kit,deepmodeling/deepmd-kit,deepmd-kit,conda-forge/deepmd-kit,deepmd-kit,deepmodeling/deepmd-kit,https://github.com/deepmodeling/deepmd-kit,https://github.com/deepmodeling/deepmd-kit,LGPL-3.0,2017-12-12 15:23:44,2024-05-16 06:31:14.000000,2024-04-06 18:46:23,2501,42.0,467,47,1837,98.0,583.0,1378.0,2024-04-06 19:28:14,2.2.10,36000.0,17568.0,44.0,A deep learning package for many-body potential energy representation and molecular dynamics.,14.0,14.0,68,https://pypi.org/project/deepmd-kit,1877.0,https://anaconda.org/conda-forge/deepmd-kit,2024-04-07 08:33:13.101,554360.0,https://www.npmjs.com/package/deepmd-kit,14.0,https://hub.docker.com/r/deepmodeling/deepmd-kit,2024-03-04 00:17:27.208639,1.0,2279.0,28,True,others,1,
1,DP-GEN,deepmodeling/dpgen,dpgen,conda-forge/dpgen,,,https://github.com/deepmodeling/dpgen,https://github.com/deepmodeling/dpgen,LGPL-3.0,2019-06-13 11:43:56,2024-05-16 02:32:00.000000,2024-04-10 06:31:36,2083,15.0,168,13,804,26.0,251.0,280.0,2024-04-10 06:37:07,0.12.1,1693.0,1145.0,18.0,The deep potential generator to generate a deep-learning based model of interatomic potential energy and force field.,5.0,5.0,64,https://pypi.org/project/dpgen,521.0,https://anaconda.org/conda-forge/dpgen,2024-04-10 09:44:30.012,27875.0,,,,,,,24,True,others,1,
2,dpdata,deepmodeling/dpdata,dpdata,conda-forge/dpdata,,dptechnology/dpdata,https://github.com/deepmodeling/dpdata,https://github.com/deepmodeling/dpdata,LGPL-3.0,2019-04-12 13:24:23,2024-05-16 06:34:48.000000,2024-04-03 01:16:17,698,14.0,123,9,454,15.0,74.0,182.0,2024-04-03 01:21:35,0.2.18,,22439.0,34.0,"Manipulating multiple atomic simulation data formats, including DeePMD-kit, VASP, LAMMPS, ABACUS, etc.",116.0,116.0,57,https://pypi.org/project/dpdata,20955.0,https://anaconda.org/conda-forge/dpdata,2024-04-03 05:29:47.350,66739.0,,,https://hub.docker.com/r/dptechnology/dpdata,2023-06-02 09:30:14.674068,,78.0,24,True,others,1,
3,ABACUS,deepmodeling/abacus-develop,,conda-forge/abacus,,,https://github.com/deepmodeling/abacus-develop,https://github.com/deepmodeling/abacus-develop,LGPL-3.0,2021-02-01 04:04:52,2024-05-16 10:04:37.000000,2024-05-16 07:53:48,6253,195.0,118,11,2649,217.0,1235.0,142.0,2024-05-11 03:35:58,3.6.3,,3748.0,48.0,An electronic structure package based on either plane wave basis or numerical atomic orbitals.,,,116,,,https://anaconda.org/conda-forge/abacus,2024-05-11 07:51:40.435,37489.0,,,,,,,24,True,others,1,1.0
4,dpdispatcher,deepmodeling/dpdispatcher,dpdispatcher,conda-forge/dpdispatcher,,dptechnology/dpdispatcher,https://github.com/deepmodeling/dpdispatcher,https://github.com/deepmodeling/dpdispatcher,LGPL-3.0,2020-12-08 05:14:37,2024-05-14 07:49:36.000000,2024-05-14 07:49:36,1064,14.0,52,6,365,17.0,53.0,40.0,2024-01-21 20:29:17,0.6.4,,5324.0,44.0,generate HPC scheduler systems jobs input scripts and submit these scripts to HPC systems and poke until they finish.,47.0,47.0,44,https://pypi.org/project/dpdispatcher,2591.0,https://anaconda.org/conda-forge/dpdispatcher,2024-01-21 21:21:34.817,8048.0,,,https://hub.docker.com/r/dptechnology/dpdispatcher,2024-01-21 20:33:39.770335,,95611.0,22,True,others,2,
5,reacnetgenerator,deepmodeling/reacnetgenerator,reacnetgenerator,conda-forge/reacnetgenerator,,,https://github.com/deepmodeling/reacnetgenerator,https://github.com/deepmodeling/reacnetgenerator,LGPL-3.0,2018-04-06 15:07:56,2024-05-14 23:06:22.000000,2024-05-14 23:03:09,2474,87.0,34,9,2088,4.0,120.0,60.0,2024-05-09 23:35:17,1.6.13,,8972.0,100.0,an automatic reaction network generator for reactive molecular dynamics simulation.,,,18,https://pypi.org/project/reacnetgenerator,2806.0,https://anaconda.org/conda-forge/reacnetgenerator,2024-05-10 07:03:30.570,295984.0,,,,,,,21,True,others,2,
6,dflow,deepmodeling/dflow,dflow,conda-forge/dflow,,dptechnology/dflow,https://github.com/deepmodeling/dflow,https://github.com/deepmodeling/dflow,LGPL-3.0,2022-01-21 08:14:36,2024-04-30 08:42:20.090383,2024-04-30 08:39:45,1974,74.0,23,1,765,14.0,21.0,54.0,2024-04-30 08:40:07,1.8.64,,118.0,100.0,Dflow is a Python framework for constructing scientific computing workflows (e.g. concurrent learning workflows)..,,,22,https://pypi.org/project/dflow,,https://anaconda.org/conda-forge/dflow,,,,,https://hub.docker.com/r/dptechnology/dflow,2024-04-30 08:42:20.090383,,3328.0,18,True,others,2,
7,DeePTB,deepmodeling/DeePTB,dptb,,,,https://github.com/deepmodeling/DeePTB,https://github.com/deepmodeling/DeePTB,LGPL-3.0,2023-07-11 03:19:42,2024-05-15 02:09:29.000000,2024-05-13 08:10:52,690,125.0,12,4,141,8.0,24.0,31.0,2024-05-06 09:35:40,2.0.2,,261.0,8.0,DeePTB: A deep learning package for tight-binding approach with ab initio accuracy.,,,9,https://pypi.org/project/dptb,261.0,,,,,,,,,,17,True,others,2,
8,dargs,deepmodeling/dargs,dargs,conda-forge/dargs,,,https://github.com/deepmodeling/dargs,https://github.com/deepmodeling/dargs,LGPL-3.0,2020-09-19 22:20:28,2024-05-13 21:24:04.000000,2024-04-27 15:50:04,137,16.0,2,7,54,1.0,6.0,5.0,2024-04-06 04:19:45,0.4.5,,36538.0,26.0,Argument processing for the deep modeling project.,117.0,117.0,7,https://pypi.org/project/dargs,35910.0,https://anaconda.org/conda-forge/dargs,2024-04-06 06:36:32.896,23257.0,,,,,,,17,True,others,2,
9,DeepFlame,deepmodeling/deepflame-dev,,,,,https://github.com/deepmodeling/deepflame-dev,https://github.com/deepmodeling/deepflame-dev,GPL-3.0,2022-06-12 10:25:12,2024-05-13 10:41:11.000000,2024-04-21 16:13:58,1054,19.0,55,6,433,15.0,28.0,124.0,2024-03-02 04:46:26,1.3.1,,,19.0,A deep learning empowered open-source platform for reacting flow simulations.,,,23,,,,,,,,,,,,16,True,others,2,
