,name,github_id,pypi_id,conda_id,npm_id,dockerhub_id,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,github_release_downloads,monthly_downloads,release_count,description,dependent_project_count,github_dependent_project_count,contributor_count,pypi_url,pypi_monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,npm_url,npm_monthly_downloads,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,projectrank,show,category,projectrank_placing,trending
0,DeePMD-kit,deepmodeling/deepmd-kit,deepmd-kit,conda-forge/deepmd-kit,deepmd-kit,deepmodeling/deepmd-kit,https://github.com/deepmodeling/deepmd-kit,https://github.com/deepmodeling/deepmd-kit,LGPL-3.0,2017-12-12 15:23:44,2026-01-22 10:57:03.000000,2026-01-21 09:19:56,3508,88.0,562.0,46.0,2652.0,88.0,866.0,1857,2025-12-12 10:39:16,3.1.2,66989.0,53428.0,60.0,A deep learning package for many-body potential energy representation and molecular dynamics.,45.0,45.0,84.0,https://pypi.org/project/deepmd-kit,8995.0,https://anaconda.org/conda-forge/deepmd-kit,2025-12-22 15:13:08.094,2478066.0,https://www.npmjs.com/package/deepmd-kit,4.0,https://hub.docker.com/r/deepmodeling/deepmd-kit,2025-12-27 02:37:19.399002,1.0,4920.0,30,True,others,1,1.0
1,ABACUS,deepmodeling/abacus-develop,,conda-forge/abacus,,,https://github.com/deepmodeling/abacus-develop,https://github.com/deepmodeling/abacus-develop,LGPL-3.0,2021-02-01 04:04:52,2026-01-21 02:54:01.000000,2026-01-21 02:54:01,7593,120.0,150.0,8.0,4261.0,192.0,2275.0,241,2026-01-18 06:11:42,3.9.0.23,,19216.0,88.0,An electronic structure package based on either plane wave basis or numerical atomic orbitals.,,,138.0,,,https://anaconda.org/conda-forge/abacus,2025-12-20 09:51:19.492,576488.0,,,,,,,25,True,others,1,
2,DP-GEN,deepmodeling/dpgen,dpgen,conda-forge/dpgen,,,https://github.com/deepmodeling/dpgen,https://github.com/deepmodeling/dpgen,LGPL-3.0,2019-06-13 11:43:56,2026-01-20 00:34:07.000000,2026-01-20 00:34:05,2233,14.0,178.0,10.0,946.0,35.0,298.0,375,2025-08-07 07:42:12,0.13.2,2075.0,1343.0,21.0,The deep potential generator to generate a deep-learning based model of interatomic potential energy and force field.,8.0,8.0,73.0,https://pypi.org/project/dpgen,597.0,https://anaconda.org/conda-forge/dpgen,2025-08-07 18:05:24.933,48167.0,,,,,,,24,True,others,1,
3,dpdata,deepmodeling/dpdata,dpdata,conda-forge/dpdata,,dptechnology/dpdata,https://github.com/deepmodeling/dpdata,https://github.com/deepmodeling/dpdata,LGPL-3.0,2019-04-12 13:24:23,2026-01-20 00:34:03.000000,2026-01-20 00:34:01,887,12.0,145.0,5.0,643.0,27.0,103.0,242,2025-10-21 07:55:49,1.0.0,,43640.0,42.0,A Python package for manipulating atomistic data of software in computational science.,153.0,153.0,68.0,https://pypi.org/project/dpdata,41818.0,https://anaconda.org/conda-forge/dpdata,2025-10-21 10:00:11.600,117961.0,,,https://hub.docker.com/r/dptechnology/dpdata,2023-06-02 09:30:14.674068,,700.0,24,True,others,1,
4,dpdispatcher,deepmodeling/dpdispatcher,dpdispatcher,conda-forge/dpdispatcher,,dptechnology/dpdispatcher,https://github.com/deepmodeling/dpdispatcher,https://github.com/deepmodeling/dpdispatcher,LGPL-3.0,2020-12-08 05:14:37,2026-01-19 20:51:25.000000,2025-12-21 15:57:53,1133,8.0,56.0,4.0,440.0,18.0,79.0,54,2025-11-11 01:28:31,1.0.0,,5837.0,53.0,generate HPC scheduler systems jobs input scripts and submit these scripts to HPC systems and poke until they finish.,69.0,69.0,48.0,https://pypi.org/project/dpdispatcher,2547.0,https://anaconda.org/conda-forge/dpdispatcher,2025-11-11 15:58:45.631,38421.0,,,https://hub.docker.com/r/dptechnology/dpdispatcher,2025-11-11 01:33:15.628472,,142156.0,22,True,others,2,
5,reacnetgenerator,deepmodeling/reacnetgenerator,reacnetgenerator,conda-forge/reacnetgenerator,,,https://github.com/deepmodeling/reacnetgenerator,https://github.com/deepmodeling/reacnetgenerator,LGPL-3.0,2018-04-06 15:07:56,2026-01-22 08:50:45.000000,2026-01-22 08:47:46,2547,3.0,42.0,5.0,2254.0,7.0,124.0,95,2025-01-05 07:30:15,1.6.15,,12537.0,100.0,an automatic reaction network generator for reactive molecular dynamics simulation.,3.0,3.0,19.0,https://pypi.org/project/reacnetgenerator,1905.0,https://anaconda.org/conda-forge/reacnetgenerator,2025-11-11 16:14:11.843,722983.0,,,,,,,19,True,others,2,
6,dflow,deepmodeling/dflow,dflow,conda-forge/dflow,,dptechnology/dflow,https://github.com/deepmodeling/dflow,https://github.com/deepmodeling/dflow,LGPL-3.0,2022-01-21 08:14:36,2026-01-21 07:08:16.591515,2026-01-21 07:05:50,2277,4.0,29.0,,914.0,13.0,23.0,79,2026-01-21 07:06:16,1.8.133,,355.0,100.0,Dflow is a Python framework for constructing scientific computing workflows (e.g. concurrent learning workflows)..,,,23.0,https://pypi.org/project/dflow,,https://anaconda.org/conda-forge/dflow,,,,,https://hub.docker.com/r/dptechnology/dflow,2026-01-21 07:08:16.591515,,17057.0,18,True,others,2,1.0
7,DeePTB,deepmodeling/DeePTB,dptb,,,,https://github.com/deepmodeling/DeePTB,https://github.com/deepmodeling/DeePTB,LGPL-3.0,2023-07-11 03:19:42,2026-01-11 02:07:20.000000,2026-01-11 02:06:23,831,30.0,26.0,2.0,242.0,19.0,39.0,99,2025-05-07 14:02:40,2.2.0,,207.0,12.0,DeePTB: A deep learning package for tight-binding Hamiltonian with ab initio accuracy.,4.0,4.0,14.0,https://pypi.org/project/dptb,207.0,,,,,,,,,,16,True,others,2,
8,DPGEN2,deepmodeling/dpgen2,dpgen2,,,dptechnology/dpgen2,https://github.com/deepmodeling/dpgen2,https://github.com/deepmodeling/dpgen2,LGPL-3.0,2022-02-28 02:41:16,2025-12-02 00:42:11.214113,2025-12-02 00:40:35,348,4.0,36.0,5.0,270.0,18.0,28.0,40,2023-01-28 03:43:25,0.0.7,,191.0,7.0,2nd generation of the Deep Potential GENerator.,6.0,6.0,19.0,https://pypi.org/project/dpgen2,102.0,,,,,,https://hub.docker.com/r/dptechnology/dpgen2,2025-12-02 00:42:11.214113,,4221.0,16,True,others,2,
9,dargs,deepmodeling/dargs,dargs,conda-forge/dargs,,,https://github.com/deepmodeling/dargs,https://github.com/deepmodeling/dargs,LGPL-3.0,2020-09-19 22:20:28,2026-01-19 20:51:19.000000,2025-12-17 08:38:39,166,2.0,3.0,4.0,84.0,2.0,7.0,6,2024-11-21 03:25:26,0.4.10,,52636.0,31.0,Argument processing for the deep modeling project.,154.0,154.0,7.0,https://pypi.org/project/dargs,51606.0,https://anaconda.org/conda-forge/dargs,2025-04-22 14:57:50.542,58713.0,,,,,,,16,True,others,2,
