,name,github_id,pypi_id,conda_id,npm_id,dockerhub_id,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,github_release_downloads,monthly_downloads,release_count,description,dependent_project_count,github_dependent_project_count,contributor_count,pypi_url,pypi_monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,npm_url,npm_monthly_downloads,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,projectrank,show,category,projectrank_placing,trending,new_addition
0,DeePMD-kit,deepmodeling/deepmd-kit,deepmd-kit,conda-forge/deepmd-kit,deepmd-kit,deepmodeling/deepmd-kit,https://github.com/deepmodeling/deepmd-kit,https://github.com/deepmodeling/deepmd-kit,LGPL-3.0,2017-12-12 15:23:44,2024-03-14 13:00:47.000000,2024-01-23 03:28:58,2452,51.0,453.0,47,1696.0,36.0,500.0,1328.0,2024-02-04 20:12:50,2.2.9,33044.0,16964.0,43.0,A deep learning package for many-body potential energy representation and molecular dynamics.,13.0,13.0,65,https://pypi.org/project/deepmd-kit,2925.0,https://anaconda.org/conda-forge/deepmd-kit,2024-03-03 22:59:50.537,467884.0,https://www.npmjs.com/package/deepmd-kit,7.0,https://hub.docker.com/r/deepmodeling/deepmd-kit,2024-03-04 00:17:27.208639,1.0,2191.0,29,True,others,1.0,,
1,dpdata,deepmodeling/dpdata,dpdata,conda-forge/dpdata,,dptechnology/dpdata,https://github.com/deepmodeling/dpdata,https://github.com/deepmodeling/dpdata,LGPL-3.0,2019-04-12 13:24:23,2024-03-14 11:51:28.000000,2023-10-31 01:50:24,666,,115.0,9,420.0,11.0,74.0,173.0,2023-10-31 02:23:47,0.2.17,,27118.0,33.0,"Manipulating multiple atomic simulation data formats, including DeePMD-kit, VASP, LAMMPS, ABACUS, etc.",113.0,113.0,51,https://pypi.org/project/dpdata,25622.0,https://anaconda.org/conda-forge/dpdata,2023-10-31 03:26:18.565,64317.0,,,https://hub.docker.com/r/dptechnology/dpdata,2023-06-02 09:30:14.674068,,78.0,23,True,others,1.0,,
2,DP-GEN,deepmodeling/dpgen,dpgen,conda-forge/dpgen,,,https://github.com/deepmodeling/dpgen,https://github.com/deepmodeling/dpgen,LGPL-3.0,2019-06-13 11:43:56,2024-03-13 03:12:49.000000,2023-11-02 05:59:11,2047,,164.0,13,775.0,23.0,241.0,273.0,2023-11-02 06:14:15,0.12.0,1619.0,1087.0,17.0,The deep potential generator to generate a deep-learning based model of interatomic potential energy and force field.,4.0,4.0,62,https://pypi.org/project/dpgen,461.0,https://anaconda.org/conda-forge/dpgen,2023-11-02 08:08:32.395,26804.0,,,,,,,22,True,others,1.0,,
3,ABACUS,deepmodeling/abacus-develop,,conda-forge/abacus,,,https://github.com/deepmodeling/abacus-develop,https://github.com/deepmodeling/abacus-develop,LGPL-3.0,2021-02-01 04:04:52,2024-03-14 13:01:46.000000,2024-03-13 02:11:31,6090,144.0,89.0,11,2425.0,168.0,1044.0,138.0,2024-03-04 06:17:12,3.5.4,,2364.0,44.0,An electronic structure package based on either plane wave basis or numerical atomic orbitals.,,,91,,,https://anaconda.org/conda-forge/abacus,2024-03-04 09:42:08.663,18919.0,,,,,,,22,True,others,1.0,,
4,dpdispatcher,deepmodeling/dpdispatcher,dpdispatcher,conda-forge/dpdispatcher,,dptechnology/dpdispatcher,https://github.com/deepmodeling/dpdispatcher,https://github.com/deepmodeling/dpdispatcher,LGPL-3.0,2020-12-08 05:14:37,2024-03-13 03:14:23.000000,2024-03-13 03:14:22,1051,12.0,48.0,6,351.0,14.0,51.0,37.0,2024-01-21 20:29:17,0.6.4,,4550.0,44.0,generate HPC scheduler systems jobs input scripts and submit these scripts to HPC systems and poke until they finish.,45.0,45.0,43,https://pypi.org/project/dpdispatcher,1854.0,https://anaconda.org/conda-forge/dpdispatcher,2024-01-21 21:21:34.817,6737.0,,,https://hub.docker.com/r/dptechnology/dpdispatcher,2024-01-21 20:33:39.770335,,90562.0,22,True,others,1.0,,
5,reacnetgenerator,deepmodeling/reacnetgenerator,reacnetgenerator,conda-forge/reacnetgenerator,,,https://github.com/deepmodeling/reacnetgenerator,https://github.com/deepmodeling/reacnetgenerator,LGPL-3.0,2018-04-06 15:07:56,2024-03-14 17:20:15.000000,2024-03-13 03:11:03,2414,77.0,29.0,8,2025.0,5.0,118.0,55.0,2024-01-06 07:24:48,1.6.12,,9884.0,100.0,an automatic reaction network generator for reactive molecular dynamics simulation.,1.0,1.0,18,https://pypi.org/project/reacnetgenerator,3871.0,https://anaconda.org/conda-forge/reacnetgenerator,2024-01-06 10:44:38.937,276608.0,,,,,,,21,True,others,2.0,,
6,dflow,deepmodeling/dflow,dflow,conda-forge/dflow,,dptechnology/dflow,https://github.com/deepmodeling/dflow,https://github.com/deepmodeling/dflow,LGPL-3.0,2022-01-21 08:14:36,2024-03-05 06:33:43.000000,2024-03-05 06:29:19,1931,117.0,21.0,1,744.0,13.0,21.0,48.0,2024-03-04 10:41:13,1.8.54,,126.0,100.0,Dflow is a Python framework for constructing scientific computing workflows (e.g. concurrent learning workflows)..,,,21,https://pypi.org/project/dflow,,https://anaconda.org/conda-forge/dflow,,,,,https://hub.docker.com/r/dptechnology/dflow,2024-03-04 10:43:28.749012,,3284.0,18,True,others,2.0,,
7,DeepFlame,deepmodeling/deepflame-dev,,,,,https://github.com/deepmodeling/deepflame-dev,https://github.com/deepmodeling/deepflame-dev,GPL-3.0,2022-06-12 10:25:12,2024-03-13 03:50:54.000000,2024-03-13 03:17:11,1042,74.0,54.0,6,414.0,14.0,28.0,117.0,2024-03-02 04:46:26,1.3.1,,,19.0,A deep learning empowered open-source platform for reacting flow simulations.,,,22,,,,,,,,,,,,17,True,others,2.0,,
8,DP-GUI,deepmodeling/dpgui,dpgui,,,,https://github.com/deepmodeling/dpgui,https://github.com/deepmodeling/dpgui,LGPL-3.0,2021-07-21 18:48:23,2024-03-14 10:15:09.000000,2024-03-13 03:14:56,279,17.0,4.0,6,394.0,,1.0,7.0,2023-10-13 05:16:09,1.0.0,,24349.0,4.0,A web-based GUI for user inputs.,5.0,5.0,3,https://pypi.org/project/dpgui,24349.0,,,,,,,,,,16,True,others,2.0,,
9,dargs,deepmodeling/dargs,dargs,conda-forge/dargs,,,https://github.com/deepmodeling/dargs,https://github.com/deepmodeling/dargs,LGPL-3.0,2020-09-19 22:20:28,2024-03-13 03:13:41.000000,2024-03-13 03:13:40,123,5.0,1.0,7,41.0,1.0,6.0,5.0,2024-02-21 07:53:25,0.4.4,,39570.0,25.0,Argument processing for the deep modeling project.,109.0,109.0,5,https://pypi.org/project/dargs,38957.0,https://anaconda.org/conda-forge/dargs,2024-02-21 09:36:14.849,21479.0,,,,,,,16,True,others,2.0,,
