,name,github_id,pypi_id,conda_id,npm_id,dockerhub_id,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,github_release_downloads,monthly_downloads,release_count,description,dependent_project_count,github_dependent_project_count,contributor_count,pypi_url,pypi_monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,npm_url,npm_monthly_downloads,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,projectrank,show,category,projectrank_placing,trending
0,DeePMD-kit,deepmodeling/deepmd-kit,deepmd-kit,conda-forge/deepmd-kit,deepmd-kit,deepmodeling/deepmd-kit,https://github.com/deepmodeling/deepmd-kit,https://github.com/deepmodeling/deepmd-kit,LGPL-3.0,2017-12-12 15:23:44,2025-12-18 16:57:42.000000,2025-12-16 16:10:38,3474,70.0,558.0,46.0,2610.0,87.0,860.0,1812,2025-12-12 10:39:16,3.1.2,64564.0,52326.0,60.0,A deep learning package for many-body potential energy representation and molecular dynamics.,41.0,41.0,84.0,https://pypi.org/project/deepmd-kit,8623.0,https://anaconda.org/conda-forge/deepmd-kit,2025-12-15 20:41:45.040,2394849.0,https://www.npmjs.com/package/deepmd-kit,4.0,https://hub.docker.com/r/deepmodeling/deepmd-kit,2025-11-12 14:59:25.522676,1.0,4803.0,29,True,others,1,
1,DP-GEN,deepmodeling/dpgen,dpgen,conda-forge/dpgen,,,https://github.com/deepmodeling/dpgen,https://github.com/deepmodeling/dpgen,LGPL-3.0,2019-06-13 11:43:56,2025-12-16 10:01:08.000000,2025-12-16 10:01:06,2228,15.0,177.0,10.0,941.0,34.0,297.0,371,2025-08-07 07:42:12,0.13.2,2035.0,2255.0,21.0,The deep potential generator to generate a deep-learning based model of interatomic potential energy and force field.,8.0,8.0,73.0,https://pypi.org/project/dpgen,1514.0,https://anaconda.org/conda-forge/dpgen,2025-08-07 18:05:24.933,47150.0,,,,,,,24,True,others,1,
2,dpdata,deepmodeling/dpdata,dpdata,conda-forge/dpdata,,dptechnology/dpdata,https://github.com/deepmodeling/dpdata,https://github.com/deepmodeling/dpdata,LGPL-3.0,2019-04-12 13:24:23,2025-12-16 10:01:14.000000,2025-12-16 10:01:12,883,18.0,144.0,5.0,638.0,27.0,102.0,238,2025-10-21 07:55:49,1.0.0,,30617.0,42.0,A Python package for manipulating atomistic data of software in computational science.,149.0,149.0,67.0,https://pypi.org/project/dpdata,28806.0,https://anaconda.org/conda-forge/dpdata,2025-10-21 10:00:11.600,115426.0,,,https://hub.docker.com/r/dptechnology/dpdata,2023-06-02 09:30:14.674068,,684.0,24,True,others,1,
3,ABACUS,deepmodeling/abacus-develop,,conda-forge/abacus,,,https://github.com/deepmodeling/abacus-develop,https://github.com/deepmodeling/abacus-develop,LGPL-3.0,2021-02-01 04:04:52,2025-12-18 12:24:37.000000,2025-12-15 14:01:36,7544,133.0,146.0,9.0,4199.0,185.0,2257.0,233,2025-12-06 06:11:31,3.9.0.20,,19003.0,85.0,An electronic structure package based on either plane wave basis or numerical atomic orbitals.,,,136.0,,,https://anaconda.org/conda-forge/abacus,2025-12-15 14:49:59.688,551100.0,,,,,,,24,True,others,1,
4,dpdispatcher,deepmodeling/dpdispatcher,dpdispatcher,conda-forge/dpdispatcher,,dptechnology/dpdispatcher,https://github.com/deepmodeling/dpdispatcher,https://github.com/deepmodeling/dpdispatcher,LGPL-3.0,2020-12-08 05:14:37,2025-12-17 08:36:53.000000,2025-12-17 08:36:51,1132,9.0,56.0,4.0,440.0,18.0,77.0,53,2025-11-11 01:28:31,1.0.0,,8816.0,53.0,generate HPC scheduler systems jobs input scripts and submit these scripts to HPC systems and poke until they finish.,69.0,69.0,48.0,https://pypi.org/project/dpdispatcher,5545.0,https://anaconda.org/conda-forge/dpdispatcher,2025-11-11 15:58:45.631,36839.0,,,https://hub.docker.com/r/dptechnology/dpdispatcher,2025-11-11 01:33:15.628472,,139652.0,23,True,others,2,-1.0
5,reacnetgenerator,deepmodeling/reacnetgenerator,reacnetgenerator,conda-forge/reacnetgenerator,,,https://github.com/deepmodeling/reacnetgenerator,https://github.com/deepmodeling/reacnetgenerator,LGPL-3.0,2018-04-06 15:07:56,2025-12-15 20:39:02.000000,2025-10-02 19:21:25,2544,2.0,42.0,5.0,2251.0,7.0,124.0,95,2025-01-05 07:30:15,1.6.15,,11662.0,100.0,an automatic reaction network generator for reactive molecular dynamics simulation.,3.0,3.0,19.0,https://pypi.org/project/reacnetgenerator,1144.0,https://anaconda.org/conda-forge/reacnetgenerator,2025-11-11 16:14:11.843,704733.0,,,,,,,18,True,others,2,
6,dflow,deepmodeling/dflow,dflow,conda-forge/dflow,,dptechnology/dflow,https://github.com/deepmodeling/dflow,https://github.com/deepmodeling/dflow,LGPL-3.0,2022-01-21 08:14:36,2025-09-23 12:38:05.455745,2025-09-23 12:35:28,2273,12.0,29.0,,912.0,13.0,23.0,76,2025-09-23 12:35:55,1.8.132,,352.0,100.0,Dflow is a Python framework for constructing scientific computing workflows (e.g. concurrent learning workflows)..,,,23.0,https://pypi.org/project/dflow,,https://anaconda.org/conda-forge/dflow,,,,,https://hub.docker.com/r/dptechnology/dflow,2025-09-23 12:38:05.455745,,16565.0,18,True,others,2,
7,JAX-FEM,deepmodeling/jax-fem,jax-fem,,,,https://github.com/deepmodeling/jax-fem,https://github.com/deepmodeling/jax-fem,GPL-3.0,2023-10-02 15:20:54,2025-11-13 10:57:46.000000,2025-11-13 10:56:33,272,18.0,90.0,12.0,13.0,23.0,45.0,546,,,,813.0,,Differentiable Finite Element Method with JAX.,3.0,3.0,17.0,https://pypi.org/project/jax-fem,813.0,,,,,,,,,,16,True,others,2,
8,DeepFlame,deepmodeling/deepflame-dev,,,,,https://github.com/deepmodeling/deepflame-dev,https://github.com/deepmodeling/deepflame-dev,GPL-3.0,2022-06-12 10:25:12,2025-10-11 12:17:42.000000,2025-07-23 10:47:26,1176,,72.0,6.0,509.0,26.0,34.0,197,2025-06-26 04:29:15,1.6.0,,,22.0,A deep learning empowered open-source platform for reacting flow simulations.,,,29.0,,,,,,,,,,,,16,True,others,2,
9,DeePTB,deepmodeling/DeePTB,dptb,,,,https://github.com/deepmodeling/DeePTB,https://github.com/deepmodeling/DeePTB,LGPL-3.0,2023-07-11 03:19:42,2025-12-18 17:36:39.000000,2025-12-18 17:35:38,817,17.0,24.0,2.0,230.0,18.0,39.0,92,2025-05-07 14:02:40,2.2.0,,181.0,12.0,DeePTB: A deep learning package for tight-binding Hamiltonian with ab initio accuracy.,4.0,4.0,14.0,https://pypi.org/project/dptb,181.0,,,,,,,,,,16,True,others,2,
