,name,github_id,pypi_id,conda_id,npm_id,dockerhub_id,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,github_release_downloads,monthly_downloads,release_count,description,dependent_project_count,github_dependent_project_count,contributor_count,pypi_url,pypi_monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,npm_url,npm_monthly_downloads,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,projectrank,show,category,projectrank_placing,trending
0,DeePMD-kit,deepmodeling/deepmd-kit,deepmd-kit,conda-forge/deepmd-kit,deepmd-kit,deepmodeling/deepmd-kit,https://github.com/deepmodeling/deepmd-kit,https://github.com/deepmodeling/deepmd-kit,LGPL-3.0,2017-12-12 15:23:44,2024-05-09 16:20:05.000000,2024-04-06 18:46:23,2501,42.0,467,47,1823,97.0,574.0,1373.0,2024-04-06 19:28:14,2.2.10,35688.0,16883.0,44.0,A deep learning package for many-body potential energy representation and molecular dynamics.,14.0,14.0,68,https://pypi.org/project/deepmd-kit,1678.0,https://anaconda.org/conda-forge/deepmd-kit,2024-04-07 08:33:13.101,536738.0,https://www.npmjs.com/package/deepmd-kit,10.0,https://hub.docker.com/r/deepmodeling/deepmd-kit,2024-03-04 00:17:27.208639,1.0,2262.0,28,True,others,1,-1.0
1,DP-GEN,deepmodeling/dpgen,dpgen,conda-forge/dpgen,,,https://github.com/deepmodeling/dpgen,https://github.com/deepmodeling/dpgen,LGPL-3.0,2019-06-13 11:43:56,2024-05-09 08:46:12.000000,2024-04-10 06:31:36,2083,15.0,168,13,802,29.0,248.0,279.0,2024-04-10 06:37:07,0.12.1,1687.0,1304.0,18.0,The deep potential generator to generate a deep-learning based model of interatomic potential energy and force field.,5.0,5.0,64,https://pypi.org/project/dpgen,684.0,https://anaconda.org/conda-forge/dpgen,2024-04-10 09:44:30.012,27694.0,,,,,,,24,True,others,1,
2,dpdata,deepmodeling/dpdata,dpdata,conda-forge/dpdata,,dptechnology/dpdata,https://github.com/deepmodeling/dpdata,https://github.com/deepmodeling/dpdata,LGPL-3.0,2019-04-12 13:24:23,2024-05-07 03:34:35.000000,2024-04-03 01:16:17,698,16.0,121,9,448,15.0,74.0,181.0,2024-04-03 01:21:35,0.2.18,,18171.0,34.0,"Manipulating multiple atomic simulation data formats, including DeePMD-kit, VASP, LAMMPS, ABACUS, etc.",116.0,116.0,57,https://pypi.org/project/dpdata,16696.0,https://anaconda.org/conda-forge/dpdata,2024-04-03 05:29:47.350,66331.0,,,https://hub.docker.com/r/dptechnology/dpdata,2023-06-02 09:30:14.674068,,78.0,24,True,others,1,
3,ABACUS,deepmodeling/abacus-develop,,conda-forge/abacus,,,https://github.com/deepmodeling/abacus-develop,https://github.com/deepmodeling/abacus-develop,LGPL-3.0,2021-02-01 04:04:52,2024-05-09 18:06:02.000000,2024-05-08 06:00:38,6236,178.0,116,11,2633,211.0,1221.0,139.0,2024-04-28 02:11:22,3.6.2,,3355.0,47.0,An electronic structure package based on either plane wave basis or numerical atomic orbitals.,,,112,,,https://anaconda.org/conda-forge/abacus,2024-04-28 08:01:29.301,33551.0,,,,,,,23,True,others,1,
4,dpdispatcher,deepmodeling/dpdispatcher,dpdispatcher,conda-forge/dpdispatcher,,dptechnology/dpdispatcher,https://github.com/deepmodeling/dpdispatcher,https://github.com/deepmodeling/dpdispatcher,LGPL-3.0,2020-12-08 05:14:37,2024-05-06 21:29:07.000000,2024-05-04 19:19:02,1063,15.0,51,6,365,16.0,53.0,38.0,2024-01-21 20:29:17,0.6.4,,5303.0,44.0,generate HPC scheduler systems jobs input scripts and submit these scripts to HPC systems and poke until they finish.,47.0,47.0,44,https://pypi.org/project/dpdispatcher,2597.0,https://anaconda.org/conda-forge/dpdispatcher,2024-01-21 21:21:34.817,7815.0,,,https://hub.docker.com/r/dptechnology/dpdispatcher,2024-01-21 20:33:39.770335,,94975.0,22,True,others,2,
5,reacnetgenerator,deepmodeling/reacnetgenerator,reacnetgenerator,conda-forge/reacnetgenerator,,,https://github.com/deepmodeling/reacnetgenerator,https://github.com/deepmodeling/reacnetgenerator,LGPL-3.0,2018-04-06 15:07:56,2024-05-08 21:05:13.000000,2024-05-08 21:01:38,2467,85.0,33,9,2081,4.0,120.0,59.0,2024-01-06 07:24:48,1.6.12,,8226.0,100.0,an automatic reaction network generator for reactive molecular dynamics simulation.,,,18,https://pypi.org/project/reacnetgenerator,2168.0,https://anaconda.org/conda-forge/reacnetgenerator,2024-01-06 10:44:38.937,290807.0,,,,,,,21,True,others,2,1.0
6,dflow,deepmodeling/dflow,dflow,conda-forge/dflow,,dptechnology/dflow,https://github.com/deepmodeling/dflow,https://github.com/deepmodeling/dflow,LGPL-3.0,2022-01-21 08:14:36,2024-04-30 08:42:20.090383,2024-04-30 08:39:45,1974,78.0,23,1,765,13.0,21.0,54.0,2024-04-30 08:40:07,1.8.64,,118.0,100.0,Dflow is a Python framework for constructing scientific computing workflows (e.g. concurrent learning workflows)..,,,22,https://pypi.org/project/dflow,,https://anaconda.org/conda-forge/dflow,,,,,https://hub.docker.com/r/dptechnology/dflow,2024-04-30 08:42:20.090383,,3328.0,18,True,others,2,
7,DeePTB,deepmodeling/DeePTB,dptb,,,,https://github.com/deepmodeling/DeePTB,https://github.com/deepmodeling/DeePTB,LGPL-3.0,2023-07-11 03:19:42,2024-05-08 16:05:18.000000,2024-05-08 10:02:51,686,121.0,12,4,135,8.0,23.0,31.0,2024-05-06 09:35:40,2.0.2,,526.0,8.0,DeePTB: A deep learning package for tight-binding approach with ab initio accuracy.,,,9,https://pypi.org/project/dptb,526.0,,,,,,,,,,17,True,others,2,
8,dargs,deepmodeling/dargs,dargs,conda-forge/dargs,,,https://github.com/deepmodeling/dargs,https://github.com/deepmodeling/dargs,LGPL-3.0,2020-09-19 22:20:28,2024-05-06 21:29:00.000000,2024-04-27 15:50:04,137,16.0,2,7,54,1.0,6.0,5.0,2024-04-06 04:19:45,0.4.5,,27987.0,26.0,Argument processing for the deep modeling project.,115.0,115.0,7,https://pypi.org/project/dargs,27366.0,https://anaconda.org/conda-forge/dargs,2024-04-06 06:36:32.896,23012.0,,,,,,,17,True,others,2,
9,DeepFlame,deepmodeling/deepflame-dev,,,,,https://github.com/deepmodeling/deepflame-dev,https://github.com/deepmodeling/deepflame-dev,GPL-3.0,2022-06-12 10:25:12,2024-04-29 06:36:19.000000,2024-04-21 16:13:58,1054,19.0,56,6,431,15.0,28.0,122.0,2024-03-02 04:46:26,1.3.1,,,19.0,A deep learning empowered open-source platform for reacting flow simulations.,,,23,,,,,,,,,,,,16,True,others,2,
