,name,github_id,pypi_id,conda_id,npm_id,dockerhub_id,homepage,dependent_project_count,github_dependent_project_count,contributor_count,pypi_url,pypi_monthly_downloads,monthly_downloads,conda_url,created_at,conda_latest_release_published_at,updated_at,conda_total_downloads,release_count,description,npm_url,npm_monthly_downloads,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,star_count,dockerhub_pulls,projectrank,show,category,projectrank_placing,trending
10,DPGEN2,deepmodeling/dpgen2,dpgen2,,,dptechnology/dpgen2,{},6.0,6.0,19,https://pypi.org/project/dpgen2,193.0,193.0,,,,2026-07-12 09:46:45.427014,,,,,,https://hub.docker.com/r/dptechnology/dpgen2,2026-07-12 09:46:45.427014,,,5523.0,4,False,others,2.0,
11,JAX-FEM,deepmodeling/jax-fem,jax-fem,,,,{},6.0,6.0,18,https://pypi.org/project/jax-fem,1134.0,1134.0,,,,,,,,,,,,,,,4,False,others,2.0,
12,APEX,deepmodeling/APEX,apex-flow,,,,{},4.0,4.0,15,https://pypi.org/project/apex-flow,626.0,626.0,,,,,,,,,,,,,,,3,False,others,3.0,
13,DeePTB,deepmodeling/DeePTB,dptb,,,,{},4.0,4.0,15,https://pypi.org/project/dptb,162.0,162.0,,,,,,,,,,,,,,,3,False,others,3.0,
14,DMFF,deepmodeling/DMFF,,conda-forge/dmff,,,{},,,17,,,118.0,https://anaconda.org/conda-forge/dmff,2024-01-02 04:26:36.340,2025-04-22 14:58:55.028,2025-04-22 14:58:55.028000,3685.0,2.0,DMFF (Differentiable Molecular Force Field) is a Jax-based python package that provides a full differentiable..,,,,,,,,3,False,others,3.0,
15,fealpy,deepmodeling/fealpy,fealpy,,,,{},,,69,https://pypi.org/project/fealpy,166.0,166.0,,,,,,,,,,,,,,,3,False,others,3.0,
16,args,deepmodeling/args,,,@deepmodeling/args,,{},5.0,5.0,3,,,97.0,,,,,,,,https://www.npmjs.com/package/@deepmodeling/args,97.0,,,,,,2,False,others,3.0,
17,DeepFlame,deepmodeling/deepflame-dev,,,,,{},,,31,,,,,,,,,,,,,,,,,,1,False,others,3.0,-16.0
18,dflow,deepmodeling/dflow,dflow,conda-forge/dflow,,dptechnology/dflow,{},,,23,https://pypi.org/project/dflow,,,https://anaconda.org/conda-forge/dflow,,,2026-01-21 07:08:16.591515,,,A Python development framework for concurrent learning applications based on Argo Workflows.,,,https://hub.docker.com/r/dptechnology/dflow,2026-01-21 07:08:16.591515,,,21882.0,1,False,others,3.0,-16.0
19,dpti,deepmodeling/dpti,dpti,,,,{},2.0,2.0,17,https://pypi.org/project/dpti,24.0,24.0,,,,,,,,,,,,,,,1,False,others,3.0,
20,GPUMD,deepmodeling/GPUMD,,,,,{},,,64,,,,,,,,,,,,,,,,,,1,False,others,3.0,
21,rid-kit,deepmodeling/rid-kit,rid-kit,,,,{},2.0,2.0,14,https://pypi.org/project/rid-kit,21.0,21.0,,,,,,,,,,,,,,,1,False,others,3.0,
22,ADMP,deepmodeling/ADMP,,,,,{},,,7,,,,,,,,,,,,,,,,,,0,False,others,,
23,AI4Science101,deepmodeling/AI4Science101,,,,,{},,,5,,,,,,,,,,,,,,,,,,0,False,others,,
24,AIS-Square,deepmodeling/AIS-Square,,,,,{},,,8,,,,,,,,,,,,,,,,,,0,False,others,,
25,Blog,deepmodeling/blog,,,,,{},,,13,,,,,,,,,,,,,,,,,,0,False,others,,
26,community,deepmodeling/community,,,,,{},,,20,,,,,,,,,,,,,,,,,,0,False,others,,
27,DeepH-pack,deepmodeling/DeepH-pack,,,,,{},,,6,,,,,,,,,,,,,,,,,,0,False,others,,
28,DeePKS-kit,deepmodeling/deepks-kit,,,,,{},,,7,,,,,,,,,,,,,,,,,,0,False,others,,
29,docs,deepmodeling/docs,,,,,{},,,8,,,,,,,,,,,,,,,,,,0,False,others,,
30,LibRI,deepmodeling/LibRI,,,,,{},,,3,,,,,,,,,,,,,,,,,,0,False,others,,
31,tutorials,deepmodeling/tutorials,,,,,{},,,12,,,,,,,,,,,,,,,,,,0,False,others,,
32,tutorials-cn,deepmodeling/tutorials-cn,,,,,{},,,4,,,,,,,,,,,,,,,,,,0,False,others,,
33,Uni-Fold,deepmodeling/Uni-Fold,,,,dptechnology/unifold,{},,,3,,,,,,,2024-01-08 06:24:09.367953,,,,,,https://hub.docker.com/r/dptechnology/unifold,2024-01-08 06:24:09.367953,,,1628.0,0,False,others,,
34,tbplas,deepmodeling/tbplas,,,,,{},,,10,,,,,,,,,,,,,,,,,,0,False,others,,
35,DeePDih,deepmodeling/DeePDih,,,,,{},,,2,,,,,,,,,,,,,,,,,,-1,False,others,3.0,
36,dflow-op-cutter,deepmodeling/dflow-op-cutter,,,,,{},,,2,,,,,,,,,,,,,,,,,,-1,False,others,3.0,
37,openfinite,deepmodeling/openfinite,,,,,{},,,2,,,,,,,,,,,,,,,,,,-1,False,others,3.0,
