,name,github_id,pypi_id,conda_id,dockerhub_id,homepage,dependent_project_count,github_dependent_project_count,contributor_count,pypi_url,pypi_monthly_downloads,monthly_downloads,conda_url,created_at,conda_latest_release_published_at,updated_at,conda_total_downloads,release_count,description,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_pulls,projectrank,show,category,projectrank_placing,trending,npm_id,npm_url,npm_monthly_downloads,dockerhub_stars,star_count
0,dpdata,deepmodeling/dpdata,dpdata,conda-forge/dpdata,dptechnology/dpdata,{},163.0,163.0,72,https://pypi.org/project/dpdata,108287.0,110208.0,https://anaconda.org/conda-forge/dpdata,2020-08-12 15:36:21.970,2026-05-07 19:44:41.918,2026-05-07 19:44:41.918000,134976.0,44.0,"Manipulating DeePMD-kit, VASP and LAMMPS data formats.",https://hub.docker.com/r/dptechnology/dpdata,2023-06-02 09:30:14.674068,1438.0,12,False,others,1.0,-15.0,,,,,
1,DeePMD-kit,deepmodeling/deepmd-kit,deepmd-kit,conda-forge/deepmd-kit,deepmodeling/deepmd-kit,{},59.0,59.0,88,https://pypi.org/project/deepmd-kit,23025.0,70829.0,https://anaconda.org/conda-forge/deepmd-kit,2021-04-20 02:48:47.074,2026-06-07 10:09:31.065,2026-06-07 12:16:36.241892,3003125.0,49.0,A deep learning package for many-body potential energy representation and molecular dynamics.,https://hub.docker.com/r/deepmodeling/deepmd-kit,2026-06-07 12:16:36.241892,6197.0,11,False,others,1.0,-16.0,deepmd-kit,https://www.npmjs.com/package/deepmd-kit,38.0,1.0,1.0
2,dargs,deepmodeling/dargs,dargs,conda-forge/dargs,,{},163.0,163.0,8,https://pypi.org/project/dargs,128655.0,129791.0,https://anaconda.org/conda-forge/dargs,2021-04-20 18:43:41.837,2026-02-25 05:33:17.014,2026-02-25 05:33:17.014000,71627.0,25.0,Process arguments for the deep modeling project.,,,,10,False,others,1.0,,,,,,
3,dpdispatcher,deepmodeling/dpdispatcher,dpdispatcher,conda-forge/dpdispatcher,dptechnology/dpdispatcher,{},70.0,70.0,50,https://pypi.org/project/dpdispatcher,3331.0,7726.0,https://anaconda.org/conda-forge/dpdispatcher,2022-09-19 23:56:02.880,2026-02-25 23:31:49.645,2026-03-29 17:36:27.626936,49111.0,28.0,generate HPC scheduler systems jobs input scripts and submit these scripts to HPC systems and poke until they finish.,https://hub.docker.com/r/dptechnology/dpdispatcher,2026-03-29 17:36:27.626936,153095.0,9,False,others,2.0,,,,,,
4,ABACUS,deepmodeling/abacus-develop,,conda-forge/abacus,,{},,,161,,,20405.0,https://anaconda.org/conda-forge/abacus,2023-07-31 23:29:26.624,2025-12-20 09:51:19.492,2025-12-20 09:51:19.492000,734588.0,35.0,An electronic structure package based on plane wave and numerical atomic basis sets.,,,,8,False,others,2.0,-17.0,,,,,
5,DP-GEN,deepmodeling/dpgen,dpgen,conda-forge/dpgen,,{},8.0,8.0,76,https://pypi.org/project/dpgen,848.0,1599.0,https://anaconda.org/conda-forge/dpgen,2020-06-05 01:25:52.069,2026-05-13 09:42:35.071,2026-05-13 09:42:35.071000,54842.0,18.0,The deep potential generator.,,,,8,False,others,2.0,,,,,,
6,DP-GUI,deepmodeling/dpgui,dpgui,,,{},15.0,15.0,4,https://pypi.org/project/dpgui,104365.0,104365.0,,,,,,,,,,,7,False,others,2.0,,,,,,
7,reacnetgenerator,deepmodeling/reacnetgenerator,reacnetgenerator,conda-forge/reacnetgenerator,,{},3.0,3.0,20,https://pypi.org/project/reacnetgenerator,588.0,11761.0,https://anaconda.org/conda-forge/reacnetgenerator,2020-05-24 03:45:35.365,2025-11-11 16:14:11.843,2025-11-11 16:14:11.843000,826837.0,43.0,An automatic generator of reaction network for reactive molecular dynamics simulation.,,,,7,False,others,2.0,,,,,,
8,fpop,deepmodeling/fpop,fpop,,,{},18.0,18.0,4,https://pypi.org/project/fpop,699.0,699.0,,,,,,,,,,,4,False,others,2.0,,,,,,
9,JAX-FEM,deepmodeling/jax-fem,jax-fem,,,{},6.0,6.0,18,https://pypi.org/project/jax-fem,1184.0,1184.0,,,,,,,,,,,4,False,others,2.0,,,,,,
10,APEX,deepmodeling/APEX,apex-flow,,,{},4.0,4.0,15,https://pypi.org/project/apex-flow,747.0,747.0,,,,,,,,,,,3,False,others,3.0,,,,,,
11,deepmodeling_sphinx,deepmodeling/deepmodeling_sphinx,deepmodeling_sphinx,,,{},,,8,https://pypi.org/project/deepmodeling_sphinx,5023.0,5023.0,,,,,,,,,,,3,False,others,3.0,,,,,,
12,DeePTB,deepmodeling/DeePTB,dptb,,,{},4.0,4.0,15,https://pypi.org/project/dptb,424.0,424.0,,,,,,,,,,,3,False,others,3.0,,,,,,
13,DMFF,deepmodeling/DMFF,,conda-forge/dmff,,{},,,17,,,120.0,https://anaconda.org/conda-forge/dmff,2024-01-02 04:26:36.340,2025-04-22 14:58:55.028,2025-04-22 14:58:55.028000,3601.0,2.0,DMFF (Differentiable Molecular Force Field) is a Jax-based python package that provides a full differentiable..,,,,3,False,others,3.0,,,,,,
14,DPGEN2,deepmodeling/dpgen2,dpgen2,,dptechnology/dpgen2,{},6.0,6.0,19,https://pypi.org/project/dpgen2,110.0,110.0,,,,2026-07-12 09:46:45.427014,,,,https://hub.docker.com/r/dptechnology/dpgen2,2026-07-12 09:46:45.427014,5424.0,3,False,others,3.0,,,,,,
15,fealpy,deepmodeling/fealpy,fealpy,,,{},,,69,https://pypi.org/project/fealpy,680.0,680.0,,,,,,,,,,,3,False,others,3.0,,,,,,
16,args,deepmodeling/args,,,,{},5.0,5.0,3,,,81.0,,,,,,,,,,,2,False,others,3.0,,@deepmodeling/args,https://www.npmjs.com/package/@deepmodeling/args,81.0,,
17,DeepFlame,deepmodeling/deepflame-dev,,,,{},,,31,,,,,,,,,,,,,,1,False,others,3.0,-16.0,,,,,
18,dflow,deepmodeling/dflow,dflow,conda-forge/dflow,dptechnology/dflow,{},,,23,https://pypi.org/project/dflow,,,https://anaconda.org/conda-forge/dflow,,,2026-01-21 07:08:16.591515,,,A Python development framework for concurrent learning applications based on Argo Workflows.,https://hub.docker.com/r/dptechnology/dflow,2026-01-21 07:08:16.591515,21405.0,1,False,others,3.0,-16.0,,,,,
19,dpti,deepmodeling/dpti,dpti,,,{},2.0,2.0,17,https://pypi.org/project/dpti,45.0,45.0,,,,,,,,,,,1,False,others,3.0,,,,,,
20,GPUMD,deepmodeling/GPUMD,,,,{},,,61,,,,,,,,,,,,,,1,False,others,3.0,,,,,,
21,rid-kit,deepmodeling/rid-kit,rid-kit,,,{},2.0,2.0,14,https://pypi.org/project/rid-kit,66.0,66.0,,,,,,,,,,,1,False,others,3.0,,,,,,
22,ADMP,deepmodeling/ADMP,,,,{},,,7,,,,,,,,,,,,,,0,False,others,,,,,,,
23,AI4Science101,deepmodeling/AI4Science101,,,,{},,,5,,,,,,,,,,,,,,0,False,others,,,,,,,
24,AIS-Square,deepmodeling/AIS-Square,,,,{},,,8,,,,,,,,,,,,,,0,False,others,,,,,,,
25,Blog,deepmodeling/blog,,,,{},,,13,,,,,,,,,,,,,,0,False,others,,,,,,,
26,community,deepmodeling/community,,,,{},,,20,,,,,,,,,,,,,,0,False,others,,,,,,,
27,DeepH-pack,deepmodeling/DeepH-pack,,,,{},,,6,,,,,,,,,,,,,,0,False,others,,,,,,,
28,DeePKS-kit,deepmodeling/deepks-kit,,,,{},,,7,,,,,,,,,,,,,,0,False,others,,,,,,,
29,docs,deepmodeling/docs,,,,{},,,8,,,,,,,,,,,,,,0,False,others,,,,,,,
30,LibRI,deepmodeling/LibRI,,,,{},,,3,,,,,,,,,,,,,,0,False,others,,,,,,,
31,tutorials,deepmodeling/tutorials,,,,{},,,12,,,,,,,,,,,,,,0,False,others,,,,,,,
32,tutorials-cn,deepmodeling/tutorials-cn,,,,{},,,4,,,,,,,,,,,,,,0,False,others,,,,,,,
33,Uni-Fold,deepmodeling/Uni-Fold,,,dptechnology/unifold,{},,,3,,,,,,,2024-01-08 06:24:09.367953,,,,https://hub.docker.com/r/dptechnology/unifold,2024-01-08 06:24:09.367953,1619.0,0,False,others,,,,,,,
34,tbplas,deepmodeling/tbplas,,,,{},,,10,,,,,,,,,,,,,,0,False,others,,,,,,,
35,DeePDih,deepmodeling/DeePDih,,,,{},,,2,,,,,,,,,,,,,,-1,False,others,3.0,,,,,,
36,dflow-op-cutter,deepmodeling/dflow-op-cutter,,,,{},,,2,,,,,,,,,,,,,,-1,False,others,3.0,,,,,,
37,openfinite,deepmodeling/openfinite,,,,{},,,2,,,,,,,,,,,,,,-1,False,others,3.0,,,,,,
