,name,github_id,pypi_id,conda_id,npm_id,dockerhub_id,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,github_release_downloads,monthly_downloads,release_count,description,dependent_project_count,github_dependent_project_count,contributor_count,pypi_url,pypi_monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,npm_url,npm_monthly_downloads,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,projectrank,show,category,projectrank_placing,trending
0,DeePMD-kit,deepmodeling/deepmd-kit,deepmd-kit,conda-forge/deepmd-kit,deepmd-kit,deepmodeling/deepmd-kit,https://github.com/deepmodeling/deepmd-kit,https://github.com/deepmodeling/deepmd-kit,LGPL-3.0,2017-12-12 15:23:44,2025-01-02 06:40:23.000000,2024-12-23 20:06:37,3155,166.0,505.0,47.0,2260.0,78.0,773.0,1545.0,2024-12-23 20:14:18,3.0.1,46047.0,36823.0,53.0,A deep learning package for many-body potential energy representation and molecular dynamics.,22.0,22.0,73.0,https://pypi.org/project/deepmd-kit,5972.0,https://anaconda.org/conda-forge/deepmd-kit,2024-12-24 01:42:01.480,1352558.0,https://www.npmjs.com/package/deepmd-kit,15.0,https://hub.docker.com/r/deepmodeling/deepmd-kit,2024-11-25 23:15:53.163662,1.0,3267.0,29,True,others,1.0,
1,ABACUS,deepmodeling/abacus-develop,,conda-forge/abacus,,,https://github.com/deepmodeling/abacus-develop,https://github.com/deepmodeling/abacus-develop,LGPL-3.0,2021-02-01 04:04:52,2025-01-02 09:23:41.000000,2025-01-02 02:06:52,7024,285.0,138.0,11.0,3571.0,129.0,1974.0,178.0,2024-12-27 07:10:23,3.9.0,,14810.0,63.0,An electronic structure package based on either plane wave basis or numerical atomic orbitals.,,,124.0,,,https://anaconda.org/conda-forge/abacus,2024-12-27 20:49:32.966,266596.0,,,,,,,26,True,others,1.0,
2,DP-GEN,deepmodeling/dpgen,dpgen,conda-forge/dpgen,,,https://github.com/deepmodeling/dpgen,https://github.com/deepmodeling/dpgen,LGPL-3.0,2019-06-13 11:43:56,2024-12-24 04:19:40.000000,2024-11-23 07:57:08,2154,13.0,169.0,13.0,866.0,42.0,269.0,318.0,2024-11-23 08:11:47,0.13.0,1859.0,1540.0,19.0,The deep potential generator to generate a deep-learning based model of interatomic potential energy and force field.,7.0,7.0,69.0,https://pypi.org/project/dpgen,871.0,https://anaconda.org/conda-forge/dpgen,2024-11-24 00:26:57.943,35220.0,,,,,,,24,True,others,1.0,
3,dpdata,deepmodeling/dpdata,dpdata,conda-forge/dpdata,,dptechnology/dpdata,https://github.com/deepmodeling/dpdata,https://github.com/deepmodeling/dpdata,LGPL-3.0,2019-04-12 13:24:23,2024-12-27 14:30:38.604000,2024-09-20 18:23:06,761,,128.0,9.0,529.0,19.0,86.0,203.0,2024-09-20 18:24:21,0.2.21,,22164.0,37.0,A Python package for manipulating atomistic data of software in computational science.,132.0,132.0,61.0,https://pypi.org/project/dpdata,20549.0,https://anaconda.org/conda-forge/dpdata,2024-12-27 14:30:38.604,85170.0,,,https://hub.docker.com/r/dptechnology/dpdata,2023-06-02 09:30:14.674068,,639.0,23,True,others,1.0,
4,dpdispatcher,deepmodeling/dpdispatcher,dpdispatcher,conda-forge/dpdispatcher,,dptechnology/dpdispatcher,https://github.com/deepmodeling/dpdispatcher,https://github.com/deepmodeling/dpdispatcher,LGPL-3.0,2020-12-08 05:14:37,2024-12-30 00:54:50.641000,2024-12-23 21:20:54,1101,7.0,54.0,6.0,405.0,18.0,63.0,47.0,2024-08-30 18:52:29,0.6.7,,6185.0,47.0,generate HPC scheduler systems jobs input scripts and submit these scripts to HPC systems and poke until they finish.,53.0,53.0,46.0,https://pypi.org/project/dpdispatcher,3181.0,https://anaconda.org/conda-forge/dpdispatcher,2024-12-30 00:54:50.641,18786.0,,,https://hub.docker.com/r/dptechnology/dpdispatcher,2024-08-30 18:56:38.463169,,114408.0,22,True,others,2.0,
5,reacnetgenerator,deepmodeling/reacnetgenerator,reacnetgenerator,conda-forge/reacnetgenerator,,,https://github.com/deepmodeling/reacnetgenerator,https://github.com/deepmodeling/reacnetgenerator,LGPL-3.0,2018-04-06 15:07:56,2024-12-23 22:35:27.000000,2024-12-23 21:55:49,2508,10.0,39.0,9.0,2169.0,7.0,120.0,70.0,2024-10-03 19:33:36,1.6.14,,12341.0,100.0,an automatic reaction network generator for reactive molecular dynamics simulation.,3.0,3.0,18.0,https://pypi.org/project/reacnetgenerator,3785.0,https://anaconda.org/conda-forge/reacnetgenerator,2024-10-04 04:12:50.002,479165.0,,,,,,,21,True,others,2.0,
6,dargs,deepmodeling/dargs,dargs,conda-forge/dargs,,,https://github.com/deepmodeling/dargs,https://github.com/deepmodeling/dargs,LGPL-3.0,2020-09-19 22:20:28,2024-12-23 22:33:27.000000,2024-11-27 22:17:30,161,10.0,3.0,7.0,79.0,2.0,7.0,5.0,2024-11-21 03:25:26,0.4.10,,44446.0,31.0,Argument processing for the deep modeling project.,130.0,130.0,7.0,https://pypi.org/project/dargs,43632.0,https://anaconda.org/conda-forge/dargs,2024-12-22 08:33:55.288,36645.0,,,,,,,19,True,others,2.0,
7,dflow,deepmodeling/dflow,dflow,conda-forge/dflow,,dptechnology/dflow,https://github.com/deepmodeling/dflow,https://github.com/deepmodeling/dflow,LGPL-3.0,2022-01-21 08:14:36,2024-12-06 06:45:08.006324,2024-12-06 06:43:08,2144,42.0,26.0,1.0,850.0,14.0,22.0,66.0,2024-12-06 06:43:37,1.8.102,,298.0,100.0,Dflow is a Python framework for constructing scientific computing workflows (e.g. concurrent learning workflows)..,,,22.0,https://pypi.org/project/dflow,,https://anaconda.org/conda-forge/dflow,,,,,https://hub.docker.com/r/dptechnology/dflow,2024-12-06 06:45:08.006324,,10743.0,18,True,others,2.0,
8,DPGEN2,deepmodeling/dpgen2,dpgen2,,,dptechnology/dpgen2,https://github.com/deepmodeling/dpgen2,https://github.com/deepmodeling/dpgen2,LGPL-3.0,2022-02-28 02:41:16,2024-12-03 04:08:02.461223,2024-12-03 04:04:52,327,9.0,26.0,7.0,236.0,11.0,23.0,33.0,2023-01-28 03:43:25,0.0.7,,364.0,7.0,2nd generation of the Deep Potential GENerator.,5.0,5.0,14.0,https://pypi.org/project/dpgen2,257.0,,,,,,https://hub.docker.com/r/dptechnology/dpgen2,2024-12-03 04:08:02.461223,,3757.0,16,True,others,2.0,-1.0
9,DeepFlame,deepmodeling/deepflame-dev,,,,,https://github.com/deepmodeling/deepflame-dev,https://github.com/deepmodeling/deepflame-dev,GPL-3.0,2022-06-12 10:25:12,2024-12-06 06:00:03.000000,2024-11-23 04:28:17,1117,4.0,63.0,6.0,478.0,20.0,29.0,145.0,2024-08-23 01:31:45,1.4,,,20.0,A deep learning empowered open-source platform for reacting flow simulations.,,,24.0,,,,,,,,,,,,15,True,others,2.0,
